Красный Носорог;Силы света;East Side;Силы тьмы;Победа сил тьмы;2;34;25:05
  У;Игрок;;С/П/ДК/НО;ЗМ/ОМ;УПС;
  MAGNIFICENT;9;MARCI;0/7/1;4300;2600;182;196
  DRIPPINPRETTY;10;SVEN;0/8/2;3600;5400;202;238
  CHUVACHKOV;14;NEVERMORE;1/8/0;9500;11000;422;447
  ASPHODEL;11;SLARDAR;0/5/0;7100;4900;298;295
  XXXXVENERO;14;MORPHLING;1/6/0;11000;5700;432;479
Красный Носорог;Силы света;East Side;Силы тьмы;Победа сил тьмы;2;34;25:05
  У;Игрок;;С/П/ДК/НО;ЗМ/ОМ;УПС;
  DISCAY;17;PRIMAL BEAST;8/0/23;14000;16000;577;656
  KOSOYY__;14;DARK WILLOW;3/2/24;9200;14000;380;469
  SPEEDMAN;16;TROLL WARLORD;5/0/10;17000;9300;655;569
  NVSSD;13;JAKIRO;3/0/18;10000;7100;373;430
  SHADLE;18;QUEENOFPAIN;15/0/11;16000;22000;692;742
